Fecha	Total	Primera dosis	Segunda dosis	Tercera dosis	Esquema completo
2021-05-30	1843490	1071041	628409	144040	144040
2021-05-31	2037745	1185218	705392	147135	147135
2021-06-01	2223826	1304698	770390	148738	148738
2021-06-02	2408135	1431827	825411	150897	150897
2021-06-03	2592575	1558013	880446	154116	154116
2021-06-04	2734854	1668071	910204	156579	156579
2021-06-05	2844682	1745588	941469	157625	157625
2021-06-06	2882587	1772586	952364	157637	157637
2021-06-07	2946572	1810895	961973	173704	173704
2021-06-08	3016266	1833775	969119	213372	213372
2021-06-09	3128573	1845189	975717	307667	307667
2021-06-10	3272579	1884592	981014	406973	406973
2021-06-11	3419657	1930901	988284	500472	500472
2021-06-12	3583709	1970250	1035074	578385	578385
2021-06-13	3632080	2005691	1035317	591072	591072
2021-06-14	3848406	2050296	1131493	666617	666617
2021-06-15	4084278	2094260	1256558	733460	733460
2021-06-16	4328291	2145685	1389480	793126	793126
2021-06-17	4536882	2187097	1513973	835812	835812
2021-06-18	4721599	2223404	1624505	873690	873690
2021-06-19	4855270	2244336	1705242	905692	905692
2021-06-20	4892044	2244350	1734637	913057	913057
2021-06-21	4979420	2277657	1776974	924789	924789
2021-06-22	5113926	2372246	1801495	940185	940185
2021-06-23	5229916	2467275	1814981	947660	947660
2021-06-24	5328292	2553263	1821251	953778	953778
2021-06-25	5492355	2634418	1897939	959998	959998
2021-06-26	5591222	2689157	1940148	961917 	961917
2021-06-27	5676321	2696277	1973744	1006300	1006300
2021-06-28	5848491	2742615	2016978	1088898	1088898
2021-06-29	5988743	2758893	2060212	1169638	1169638
2021-06-30	6132569	2774473	2105345	1252751	1252751
2021-07-01	6394334	2797599	2145835	1450900	1450900
2021-07-02	6572661	2832316	2180352	1559993	1559993
2021-07-03	6675818	2869501	2196863	1609454	1609454
2021-07-04	6718887	2897404	2197002	1624481	1624481
2021-07-05	6759085	2926788	2197302	1634995	1634995
2021-07-06	6833720	2966587	2202153	1664980	1664980
2021-07-07	7005786	3002424	2302575	1700787	1700787
2021-07-08	7160316	3024565	2396424	1739327	1739327
2021-07-09	7275137	3039304	2483003	1752137	1752137
2021-07-10	7469503	3045823	2560750	1862930	1862930
2021-07-11	7507406	3047144	2565754	1894508	1894508
2021-07-12	7618028	3073310	2617942	1926776	1926776
2021-07-13	7767601	3152911	2645975	1968715	1968715
2021-07-14	7900105	3220481	2665623	2014001	2014001
2021-07-15	8029388	3282912	2691313	2055163	2055163
2021-07-16	8146748	3331526	2723783	2091439	2091439
2021-07-17	8225205	3358752	2757714	2108739	2108739
2021-07-18	8260167	3367337	2783780	2109050	2109050
2021-07-19	8316836	3386699	2816756	2113381	2113381
2021-07-20	8388988	3409164	2859850	2119974	2119974
2021-07-21	8546995	3433164	2899193	2214648	2214648
2021-07-22	8681522	3452771	2925244	2303507	2303507
2021-07-23	8804553	3473316	2941012	2390225	2390225
2021-07-24	8900350	3484672	2954759	2460919	2460919
2021-07-25	8913141	3491529	2957182	2464430	2464430
2021-07-26	8945084	3496617	2979123	2469344	2469344
2021-07-27	9085122	3500505	3048468	2536149	2536149
2021-07-28	9169319	3504781	3104365	2560173	2560173
2021-07-29	9372098	3626634	3157448	2588016	2588016
2021-07-30	9650235	3833448	3196737	2620050	2620050
2021-07-31	9894050	4020594	3218069	2655387	2655387
2021-08-01	10061236	4155261	3225507	2680468	2680468
2021-08-02	10267358	4329598	3255038	2682722	2682722
2021-08-03	10477630	4456437	3275772	2745421	2745421
2021-08-04	10616592	4539788	3299085	2777719	2777719
2021-08-05	10713247	4597637	3317481	2798129	2798129
2021-08-06	10786407	4641222	3331495	2813690	2813690
2021-08-07	10828013	4666161	3341498	2820354	2820354
2021-08-08	10848920	4675034	3352408	2821478	2821478
2021-08-09	10919750	4692604	3379485	2847661	2847661
2021-08-10	11001829	4714451	3389339	2898039	2898039
2021-08-11	11059697	4726170	3389364	2944163	2944163
2021-08-12	11233885	4752082	3491309	2990494	2990494
2021-08-13	11409451	4788750	3604756	3015945	3015945
2021-08-14	11632638	4819327	3776247	3037064	3037064
2021-08-15	12070621	4835460	4198092	3037069	3037069
2021-08-16	12225378	4854330	4323115	3047933	3047933
2021-08-17	12287005	4874336	4345825	3066844	3066844
2021-08-18	12320691	4889081	4346854	3085785	3085785
2021-08-19	12350386	4900864	4355929	3093593	3093593
2021-08-20	12429970	4911004	4400554	3118412	3118412
2021-08-21	12506728	4951522	4427210	3127996	3127996
2021-08-22	12587550	5014831	4440453	3132266	3132266
2021-08-23	12699522	5098998	4462268	3138256	3138256
2021-08-24	12853801	5206008	4481406	3165387	3165387
2021-08-25	12958755	5288125	4498744	3171886	3171886
2021-08-26	13180770	5363604	4528607	3288559	3288559
2021-08-27	13379503	5416339	4560615	3402549	3402549
2021-08-28	13593168	5449480	4590325	3553363	3553363
2021-08-29	13739821	5469367	4606646	3663808	3663808
2021-08-30	13922868	5503206	4627264	3792398	3792398
2021-08-31	14115595	5552931	4646023	3916641	3916641
2021-09-01	14328571	5672635	4660367	3995569	3995569
